"node_id";"taxonomy_name";"taxonomy_rank"
"mangal_node_1411";"Euaresta bella";"species"
"mangal_node_1412";"Andrena macoupinensis";"species"
"mangal_node_1413";"Falsomordellistena pubescens";"species"
"mangal_node_1414";"Psithyrus laboriosus";NA
"mangal_node_1415";"Euphorus mellipes";NA
"mangal_node_1416";"Hyptia reticulata";"species"
"mangal_node_1417";"Xylota angustiventris";"species"
"mangal_node_1418";"Lygus pratensis";"species"
"mangal_node_1419";"Nathalis iole";"species"
"mangal_node_1420";"Ferdinandea dives";"species"
"mangal_node_1421";"Euderces picipes";"species"
"mangal_node_1422";"Hedychrum violaceum";NA
"mangal_node_1423";"Seoptera colon";NA
"mangal_node_1424";"Megachile mendica";"species"
"mangal_node_1425";"Empis otiosa";"species"
"mangal_node_1426";"Tropidia quadrata";"species"
"mangal_node_1427";"Helophilus latifrons";"species"
"mangal_node_1428";"Limonius griseus";NA
"mangal_node_1429";"Mallota posticata";"species"
"mangal_node_1430";"Attagenus unicolor";"species"
"mangal_node_1431";"Polygonia interrogationis";"species"
"mangal_node_1432";"Coenosia 6-notata";NA
"mangal_node_1433";"Elachiptera costata";"species"
"mangal_node_1434";"Harmostes reflexulus";"species"
"mangal_node_1435";"Pyrisitia lisa";"species"
"mangal_node_1436";"Feltia subgothica";"species"
"mangal_node_1437";"Formica fusca";"species"
"mangal_node_1438";"Strangalia famelica";"species"
"mangal_node_1439";"Rhopalum pedicellatum";"species"
"mangal_node_1440";"Crambus laqueatellus";"species"
"mangal_node_1441";"Nysson plagiatus";"species"
"mangal_node_1442";"Tachysphex terminatus";"species"
"mangal_node_1443";"Formica schaufussi";"species"
"mangal_node_1444";"Trypoxylon tridentatum";"species"
"mangal_node_1445";"Melissodes coloradensis";"species"
"mangal_node_1446";"Blepharipeza leucophrys";NA
"mangal_node_1447";"Xylota bicolor";"species"
"mangal_node_1448";"Physocephala tibialis";"species"
"mangal_node_1449";"Pyrota mylabrina";"species"
"mangal_node_1450";"Sciara atrata";"species"
"mangal_node_1451";"Agrotis ypsilon";NA
"mangal_node_1452";"Spilomyia longicornis";"species"
"mangal_node_1453";"Cerceris insolita";"species"
"mangal_node_1454";"Archytas analis";"species"
"mangal_node_1455";"Thecla calanus";NA
"mangal_node_1456";"Formica rufibarbis";"species"
"mangal_node_1457";"Plagiomima spinosula";"species"
"mangal_node_1458";"Boettcheria cimbicis";"species"
"mangal_node_1459";"Euphoria fulgida";"species"
"mangal_node_1460";"Trogus vulpinus";"species"
"mangal_node_1461";"Nomada parva";"species"
"mangal_node_1462";"Rhingia nasica";"species"
"mangal_node_1463";"Carmenta pyralidiformis";"species"
