network_id,node_from,node_to,link_type,link_direction,link_value,link_units,taxonomy_name_from,taxonomy_rank_from,kingdom_from,taxonomy_name_to,taxonomy_rank_to,kingdom_to
mangal_1388,mangal_node_3641,mangal_node_3643,mutualism,undirected,42,NA,Convolvulus arvensis,species,Plantae,Halictus tripartitus,species,Animalia
mangal_1388,mangal_node_3641,mangal_node_3656,mutualism,undirected,4,NA,Convolvulus arvensis,species,Plantae,Sphaerophoria sulphuripes,species,Animalia
mangal_1388,mangal_node_3641,mangal_node_3664,mutualism,undirected,1,NA,Convolvulus arvensis,species,Plantae,Megachile onobrychidis,NA,Animalia
mangal_1388,mangal_node_3641,mangal_node_3648,mutualism,undirected,31,NA,Convolvulus arvensis,species,Plantae,Lasioglossum incompletum,species,Animalia
mangal_1388,mangal_node_3651,mangal_node_3652,mutualism,undirected,4,NA,Helminthotheca echioides,species,Plantae,Halictus ligatus,species,Animalia
mangal_1388,mangal_node_3651,mangal_node_3710,mutualism,undirected,1,NA,Helminthotheca echioides,species,Plantae,Melissodes lupina,species,Animalia
mangal_1388,mangal_node_3641,mangal_node_3654,mutualism,undirected,4,NA,Convolvulus arvensis,species,Plantae,Eupeodes volucris,species,Animalia
mangal_1388,mangal_node_3636,mangal_node_3684,mutualism,undirected,1,NA,Brassica,genus,Plantae,Lasioglossum sisymbrii,species,Animalia
mangal_1387,mangal_node_3675,mangal_node_3638,mutualism,undirected,1,NA,Heteromeles arbutifolia,species,Plantae,Eupeodes fumipennis,species,Animalia
mangal_1387,mangal_node_3695,mangal_node_3638,mutualism,undirected,2,NA,Sambucus mexicana,NA,Plantae,Eupeodes fumipennis,species,Animalia
mangal_1387,mangal_node_3641,mangal_node_3735,mutualism,undirected,1,NA,Convolvulus arvensis,species,Plantae,Ceratina acantha,species,Animalia
mangal_1387,mangal_node_3669,mangal_node_3644,mutualism,undirected,1,NA,Rhamnus californica,NA,Plantae,Scaeva pyrastri,species,Animalia
mangal_1387,mangal_node_3636,mangal_node_3656,mutualism,undirected,1,NA,Brassica,genus,Plantae,Sphaerophoria sulphuripes,species,Animalia
mangal_1387,mangal_node_3675,mangal_node_3719,mutualism,undirected,1,NA,Heteromeles arbutifolia,species,Plantae,Andrena cerasifolii,species,Animalia
mangal_1387,mangal_node_3641,mangal_node_3648,mutualism,undirected,4,NA,Convolvulus arvensis,species,Plantae,Lasioglossum incompletum,species,Animalia
mangal_1387,mangal_node_3636,mangal_node_1427,mutualism,undirected,2,NA,Brassica,genus,Plantae,Helophilus latifrons,species,Animalia
mangal_1387,mangal_node_3675,mangal_node_3644,mutualism,undirected,1,NA,Heteromeles arbutifolia,species,Plantae,Scaeva pyrastri,species,Animalia
mangal_1387,mangal_node_3636,mangal_node_3722,mutualism,undirected,1,NA,Brassica,genus,Plantae,Platycheirus stegnus,species,Animalia
mangal_1387,mangal_node_3636,mangal_node_3638,mutualism,undirected,1,NA,Brassica,genus,Plantae,Eupeodes fumipennis,species,Animalia
mangal_1387,mangal_node_3651,mangal_node_3648,mutualism,undirected,2,NA,Helminthotheca echioides,species,Plantae,Lasioglossum incompletum,species,Animalia
mangal_1387,mangal_node_3641,mangal_node_3649,mutualism,undirected,2,NA,Convolvulus arvensis,species,Plantae,Toxomerus marginatus,species,Animalia
mangal_1387,mangal_node_3675,mangal_node_3653,mutualism,undirected,1,NA,Heteromeles arbutifolia,species,Plantae,Syrphus opinator,species,Animalia
mangal_1387,mangal_node_3669,mangal_node_3719,mutualism,undirected,2,NA,Rhamnus californica,NA,Plantae,Andrena cerasifolii,species,Animalia
mangal_1387,mangal_node_3641,mangal_node_3643,mutualism,undirected,3,NA,Convolvulus arvensis,species,Plantae,Halictus tripartitus,species,Animalia
mangal_1387,mangal_node_3695,mangal_node_3644,mutualism,undirected,1,NA,Sambucus mexicana,NA,Plantae,Scaeva pyrastri,species,Animalia
mangal_1387,mangal_node_3636,mangal_node_3654,mutualism,undirected,1,NA,Brassica,genus,Plantae,Eupeodes volucris,species,Animalia
mangal_1361,mangal_node_3636,mangal_node_3638,mutualism,undirected,1,NA,Brassica,genus,Plantae,Eupeodes fumipennis,species,Animalia
mangal_1361,mangal_node_3636,mangal_node_3642,mutualism,undirected,1,NA,Brassica,genus,Plantae,Paragus haemorrhous,species,Animalia
mangal_1361,mangal_node_3641,mangal_node_3643,mutualism,undirected,1,NA,Convolvulus arvensis,species,Plantae,Halictus tripartitus,species,Animalia
mangal_1361,mangal_node_3636,mangal_node_3656,mutualism,undirected,2,NA,Brassica,genus,Plantae,Sphaerophoria sulphuripes,species,Animalia
mangal_1361,mangal_node_3641,mangal_node_3648,mutualism,undirected,8,NA,Convolvulus arvensis,species,Plantae,Lasioglossum incompletum,species,Animalia
mangal_1361,mangal_node_3647,mangal_node_3652,mutualism,undirected,2,NA,Centaurea solstitialis,species,Plantae,Halictus ligatus,species,Animalia
mangal_1361,mangal_node_3641,mangal_node_3736,mutualism,undirected,1,NA,Convolvulus arvensis,species,Plantae,Ceratina dallatorreana,species,Animalia
mangal_1361,mangal_node_3636,mangal_node_3717,mutualism,undirected,1,NA,Brassica,genus,Plantae,Megachile apicalis,species,Animalia
mangal_1361,mangal_node_3636,mangal_node_3648,mutualism,undirected,5,NA,Brassica,genus,Plantae,Lasioglossum incompletum,species,Animalia
mangal_1361,mangal_node_3636,mangal_node_3652,mutualism,undirected,8,NA,Brassica,genus,Plantae,Halictus ligatus,species,Animalia
mangal_1361,mangal_node_3641,mangal_node_3649,mutualism,undirected,1,NA,Convolvulus arvensis,species,Plantae,Toxomerus marginatus,species,Animalia
mangal_1361,mangal_node_3636,mangal_node_3650,mutualism,undirected,1,NA,Brassica,genus,Plantae,Sphaerophoria contigua,species,Animalia
mangal_1361,mangal_node_3647,mangal_node_3648,mutualism,undirected,6,NA,Centaurea solstitialis,species,Plantae,Lasioglossum incompletum,species,Animalia
mangal_1361,mangal_node_3636,mangal_node_3643,mutualism,undirected,1,NA,Brassica,genus,Plantae,Halictus tripartitus,species,Animalia
mangal_1361,mangal_node_3636,mangal_node_3644,mutualism,undirected,2,NA,Brassica,genus,Plantae,Scaeva pyrastri,species,Animalia
mangal_1389,mangal_node_3651,mangal_node_3648,mutualism,undirected,7,NA,Helminthotheca echioides,species,Plantae,Lasioglossum incompletum,species,Animalia
